ID_Venda,ID_Cliente,ID_Produto,Data,Quantidade,Canal,Valor_Total
20200,115,77,2025-05-15 00:00:00,3,Online,1385874
20201,818,53,2025-01-14 00:00:00,3,Loja Física,1401033
20202,568,94,2025-04-04 00:00:00,4,Online,162292
20203,175,42,2025-03-17 00:00:00,3,Loja Física,1045599
20204,332,19,2025-02-11 00:00:00,4,Online,1475039
20205,232,11,2024-12-25 00:00:00,4,Loja Física,1144256
20206,814,28,2025-02-25 00:00:00,2,Loja Física,995718
20207,639,64,2025-05-25 00:00:00,1,Loja Física,223297
20208,305,7,2024-10-15 00:00:00,1,Loja Física,383528
20209,523,77,2025-02-20 00:00:00,4,Online,1847832
20210,175,76,2024-12-28 00:00:00,2,Loja Física,627114
20211,971,48,2025-05-04 00:00:00,1,Online,313281
20212,197,33,2025-04-11 00:00:00,4,Online,1224457
20213,407,39,2025-08-11 00:00:00,2,Loja Física,1000323
20214,533,63,2024-10-26 00:00:00,2,Online,530616
20215,663,4,2025-06-08 00:00:00,3,Online,51141
20216,448,91,2025-03-27 00:00:00,1,Loja Física,541626
20217,236,62,2025-05-17 00:00:00,1,Online,277942
20218,601,57,2024-12-16 00:00:00,3,Loja Física,926256
20219,569,74,2025-03-24 00:00:00,3,Loja Física,717653
20220,135,65,2025-06-06 00:00:00,2,Loja Física,21488
20221,60,35,2025-06-24 00:00:00,4,Loja Física,93134
20222,792,82,2025-06-18 00:00:00,3,Loja Física,1381409
20223,536,16,2025-09-09 00:00:00,1,Loja Física,511856
20224,247,6,2024-11-04 00:00:00,1,Online,333097
20225,928,44,2025-02-11 00:00:00,2,Online,655666
20226,112,69,2025-02-27 00:00:00,1,Loja Física,305981
20227,201,77,2024-10-20 00:00:00,4,Online,1847832
20228,627,51,2025-01-08 00:00:00,1,Online,233034
20229,524,14,2025-01-26 00:00:00,2,Online,619006
20230,140,65,2024-10-14 00:00:00,3,Online,32232
20231,205,87,2025-08-11 00:00:00,4,Loja Física,1994588
20232,827,69,2025-07-13 00:00:00,3,Loja Física,917944
20233,28,94,2025-08-05 00:00:00,1,Loja Física,40573
20234,88,82,2025-02-12 00:00:00,3,Online,1381409
20235,556,34,2024-12-27 00:00:00,2,Loja Física,73744
20236,421,68,2024-10-10 00:00:00,1,Loja Física,461441
20237,843,45,2025-06-05 00:00:00,3,Online,434673
20238,476,17,2025-01-03 00:00:00,2,Loja Física,773902
